RegioNaam;RegioCode;AmsterdamseCode;OuderRegioNaam;OuderRegioCode;Kiesgerechtigden;Opkomst;OngeldigeStemmen;BlancoStemmen;GeldigeStemmen;VVD;D66;PVV (Partij voor de Vrijheid);CDA;SP (Socialistische Partij);Partij van de Arbeid (P.v.d.A.);GROENLINKS;Forum voor Democratie;Partij voor de Dieren;ChristenUnie;Volt;JA21;Staatkundig Gereformeerde Partij (SGP);DENK;50PLUS;BBB;BIJ1;CODE ORANJE;NIDA;Splinter;Piratenpartij;JONG;Trots op Nederland (TROTS);Lijst Henk Krol;NLBeter;Blanco (Zeven, A.J.L.B.);LP (Libertaire Partij);OPRECHT;JEZUS LEEFT;DE FEESTPARTIJ (DFP);U-Buntu Connected Front;Vrij en Sociaal Nederland;Partij van de Eenheid;Wij zijn Nederland;Partij voor de Republiek;Modern Nederland;De Groenen
Haarlemmermeer;G0394;11387;Haarlem;K10;114623;91180;190;172;90818;25857;13710;10562;7863;4015;4007;3571;4725;3218;2174;1850;2859;628;1571;1216;288;667;378;391;298;201;204;216;99;70;;46;45;;51;15;15;;8;;;
Halderberge;G1655;10397;Tilburg;K17;28173;17877;35;20;17822;5517;2002;2881;1716;1374;734;477;961;364;161;197;457;21;276;232;153;29;78;23;38;25;27;;17;12;11;7;8;8;13;1;;2;;;;
Hardenberg;G0160;10174;Zwolle;K4;47554;39349;70;43;39236;7433;2941;4398;7721;1913;1618;773;2233;602;4594;386;847;743;31;506;1976;39;122;6;67;36;57;75;28;16;21;8;15;23;;0;;6;2;;;
Harderwijk;G0243;10786;Arnhem;K7;36543;29633;50;46;29537;7162;3611;2695;3536;1085;1128;1107;1337;865;3032;436;800;744;1016;184;220;72;88;73;74;55;48;50;19;21;40;10;9;19;;1;;;;;;
Hardinxveld-Giessendam;G0523;10167;Dordrecht;K14;13818;11690;13;1;11676;2041;584;1045;1237;346;459;141;609;184;2034;71;262;2335;34;83;58;6;26;12;16;17;16;;7;8;9;3;4;24;;;;;5;;0;
Harlingen;G0072;10909;Leeuwarden;K2;12546;9956;9;20;9927;1956;1101;1285;1202;820;941;338;666;449;347;136;220;62;11;130;79;24;33;7;23;25;11;17;8;4;;5;10;8;;;4;;;4;;1
Hattem;G0244;10673;Arnhem;K7;9488;8111;13;6;8092;1501;1022;607;1140;378;616;284;308;197;1398;122;145;169;28;42;55;9;8;4;18;7;4;4;3;7;11;3;0;2;;0;;;;;;
Heemskerk;G0396;10679;Haarlem;K10;30743;24093;49;38;24006;5802;3571;2799;2237;1608;1412;1181;1463;999;347;419;662;57;364;337;127;86;122;52;91;42;51;72;24;37;;7;4;;25;0;4;;4;;;
Heemstede;G0397;11288;Haarlem;K10;20624;18013;19;11;17983;5634;4401;913;1422;578;866;940;449;840;241;829;386;30;57;132;10;55;36;12;33;20;20;21;18;13;;10;5;;4;0;8;;0;;;
Heerde;G0246;10291;Arnhem;K7;14931;12241;23;18;12200;2399;1087;1338;1914;547;669;347;555;303;1799;124;225;423;32;94;209;10;27;3;20;7;14;23;3;4;4;1;1;18;;0;;;;;;
Heerenveen;G0074;10680;Leeuwarden;K2;39975;32096;61;56;31979;6262;4687;3018;3382;2521;3350;1403;2139;1198;1066;501;576;129;223;255;636;76;123;32;88;63;55;65;20;31;;10;27;21;;;7;;;13;;2
Heerhugowaard;G0398;10752;Den Helder;K11;43502;33107;80;57;32970;8460;4863;3396;2926;2226;1760;1483;2197;1175;662;580;898;84;451;450;269;142;230;68;163;88;84;98;38;37;43;27;17;22;27;4;;;2;;;
Heerlen;G0917;10902;Maastricht;K19;68784;47800;559;114;47127;7298;4737;9474;3393;5713;3297;1965;4607;2094;376;609;682;75;681;771;118;187;179;113;134;146;52;108;63;45;95;13;20;;61;;;11;10;;;
Heeze-Leende;G1658;10462;'s-Hertogenbosch;K18;12987;10900;9;23;10868;3340;1769;1056;1409;647;441;394;417;340;117;241;237;4;13;106;156;11;37;4;40;11;12;14;12;6;19;4;0;1;9;;;1;;;;
Heiloo;G0399;10793;Den Helder;K11;19229;16910;23;20;16867;4504;3549;1075;1533;753;1030;981;643;948;274;468;447;32;35;141;86;44;48;7;77;49;20;18;17;17;34;11;11;6;9;0;;;0;;;
Hellendoorn;G0163;10806;Zwolle;K4;28457;24140;35;22;24083;5412;2700;2193;5618;1312;932;624;1068;443;1192;283;519;182;41;181;1003;32;96;9;45;34;19;40;14;8;12;7;41;20;;1;;0;2;;;
Hellevoetsluis;G0530;11078;Dordrecht;K14;31627;23699;31;40;23628;5932;2528;3910;1504;1634;1235;621;2169;822;427;279;1079;93;348;382;104;88;133;35;89;50;36;;28;23;18;18;12;19;;;;;8;;4;
Helmond;G0794;10932;'s-Hertogenbosch;K18;67212;47993;85;80;47828;11443;5905;7835;3819;4252;2008;1975;3282;1377;372;876;969;59;1487;682;157;145;262;236;146;96;91;89;61;36;44;20;23;16;58;;;7;;;;
Hendrik-Ido-Ambacht;G0531;10416;Dordrecht;K14;23105;19271;22;30;19219;4799;2019;1993;1642;865;652;478;1066;439;1281;161;667;2400;186;170;41;58;71;56;40;25;24;;18;14;9;7;16;12;;;;;9;;1;
Hengelo;G0164;10907;Zwolle;K4;63414;49573;105;100;49368;9759;7143;5296;6989;3971;3221;2303;2783;1637;1127;1166;1139;180;864;436;415;188;164;36;136;107;56;80;28;25;31;21;23;34;;5;;0;5;;;
Het Hogeland;G1966;10246;Groningen;K1;38135;30718;39;59;30620;4260;3413;2771;4296;2903;2960;1483;1427;1326;2824;438;461;404;29;253;831;100;90;8;103;56;24;48;21;16;;4;8;19;33;0;11;;;;;
Heumen;G0252;10600;Nijmegen;K6;13212;11264;27;13;11224;2900;2121;920;1245;738;743;771;318;440;138;270;221;8;17;103;96;33;15;7;38;18;11;17;7;9;5;3;3;3;6;;;;;;;
Heusden;G0797;10307;'s-Hertogenbosch;K18;34890;28275;45;26;28204;8351;3909;3619;3073;2100;1036;848;1368;746;324;479;712;48;382;371;233;30;112;44;77;55;61;84;33;17;30;10;18;4;28;;;2;;;;
Hillegom;G0534;11236;Leiden;K15;16713;13790;27;19;13744;3695;2101;1670;1315;607;630;505;773;578;213;282;535;85;122;225;67;30;81;14;48;34;22;;21;22;56;8;2;1;;1;;;;;1;
Hilvarenbeek;G0798;11297;Tilburg;K17;12563;10640;10;12;10618;3347;1830;819;1536;667;429;399;305;294;71;180;255;9;5;130;182;19;32;1;23;10;24;;7;9;12;4;1;1;14;0;;3;;;;
Hilversum;G0402;11285;Haarlem;K10;65290;52644;125;99;52420;11339;11147;4639;3358;2736;2942;3603;2163;2741;1413;1812;1037;255;1141;497;109;440;143;181;194;153;65;66;50;80;;42;17;;31;3;19;;4;;;
Hoeksche Waard;G1963;10222;Dordrecht;K14;69784;57556;57;58;57441;13773;6232;6628;5693;3011;2720;1445;3409;1812;2872;660;2477;4771;78;654;334;86;247;23;153;92;75;;49;41;40;13;18;17;;;;;12;;6;
Hof van Twente;G1735;10076;Zwolle;K4;28184;23795;29;37;23729;6058;2755;2325;5021;1150;1318;556;1034;434;339;312;604;118;105;196;1117;29;50;8;52;28;21;37;7;16;14;6;5;12;;1;;0;1;;;
Hollands Kroon;G1911;10344;Den Helder;K11;37210;29659;35;46;29578;7740;3250;3797;3474;1806;1479;842;2091;870;541;460;1017;143;36;373;863;54;186;9;96;55;59;91;89;41;35;17;21;12;27;1;;;3;;;
Hoogeveen;G0118;10839;Assen;K3;43427;34017;70;44;33903;5814;2715;5587;4917;2398;2064;848;2600;689;2430;280;754;700;119;369;665;48;142;16;83;49;234;127;33;14;36;22;94;53;;;;;;;3;
Hoorn;G0405;11392;Den Helder;K11;55736;42518;102;69;42347;9787;7127;4243;2999;2829;2689;2301;2725;1991;643;935;1129;105;693;578;146;393;190;87;176;122;83;103;57;51;53;17;17;17;39;11;;;11;;;
Horst aan de Maas;G1507;11108;Maastricht;K19;33063;26659;32;60;26567;6453;3547;3244;4691;1976;1259;951;1156;693;154;440;654;27;33;373;539;38;58;5;43;40;51;37;17;17;22;25;11;;13;;;0;0;;;
Houten;G0321;10230;Utrecht;K8;37539;31642;58;66;31518;7999;6080;2420;2701;1310;1578;2081;933;1032;1951;866;769;671;162;320;96;144;68;30;92;51;36;37;23;18;;12;10;16;8;1;3;;;;;
Huizen;G0406;11170;Haarlem;K10;32227;26151;38;40;26073;6711;4037;2469;2689;1175;1131;950;1229;1002;1531;552;741;495;402;270;85;90;64;110;80;53;35;49;27;35;;21;13;;12;1;12;;2;;;
Hulst;G0677;11408;Middelburg;K16;19964;15078;26;15;15037;3997;1581;2094;2003;1051;883;422;872;423;152;147;440;28;18;302;349;11;56;8;48;29;11;;13;17;56;9;5;10;;;;2;;;;
IJsselstein;G0353;10152;Utrecht;K8;25977;20813;34;32;20747;5938;3428;2150;1909;1010;1009;870;843;650;513;359;630;175;451;282;76;85;65;79;62;27;36;31;11;12;;13;5;11;11;2;4;;;;;
Kaag en Braassem;G1884;10349;Leiden;K15;21480;18145;18;19;18108;5509;2642;1945;2157;778;626;610;884;547;291;350;771;63;47;260;268;38;90;17;58;36;40;;13;21;22;14;6;3;;1;;;;;1;
Kampen;G0166;10253;Zwolle;K4;40929;34483;47;40;34396;5155;2685;3660;4983;1569;1333;1148;2113;689;4803;415;688;3651;361;223;372;73;107;19;81;57;32;51;27;22;15;11;21;23;;2;;5;2;;;
Kapelle;G0678;11223;Middelburg;K16;9840;8449;11;3;8435;1940;808;649;1094;360;435;178;362;213;601;92;247;1126;11;100;105;17;28;1;16;13;7;;7;2;3;6;3;10;;;;1;;;;
Katwijk;G0537;10707;Leiden;K15;49533;41320;51;39;41230;8861;3151;5214;5874;1240;1042;771;3029;1113;4077;515;1317;3561;235;423;132;73;172;55;89;57;50;;35;33;30;14;10;57;;0;;;;;0;
Kerkrade;G0928;10313;Maastricht;K19;34535;23522;53;34;23435;3979;1614;5958;1967;2192;1945;744;2400;818;118;213;365;27;155;402;49;64;68;26;61;48;18;63;28;22;41;7;10;;29;;;0;4;;;
Koggenland;G1598;10354;Den Helder;K11;18041;15165;17;23;15125;4674;2003;1464;1999;723;657;496;841;478;130;216;447;22;15;178;462;45;72;3;29;33;28;51;8;14;13;5;3;2;13;0;;;1;;;
Krimpen aan den IJssel;G0542;10859;Leiden;K15;22685;18626;27;26;18573;3562;2005;1996;1391;968;933;551;967;531;1312;228;740;2564;154;203;35;70;91;41;56;38;22;;17;22;18;10;27;11;;8;;;;;2;
Krimpenerwaard;G1931;10050;Leiden;K15;43962;37011;78;46;36887;8949;4041;3548;3699;1587;1791;996;1872;1139;2389;463;1407;3271;333;354;470;60;153;40;75;46;43;;32;44;30;11;23;16;;4;;;;;1;
Laarbeek;G1659;10173;'s-Hertogenbosch;K18;18031;14440;26;18;14396;4247;1707;1830;1914;1303;596;441;684;358;95;241;346;12;13;177;179;10;51;4;43;25;27;35;11;6;6;8;7;2;17;;;1;;;;
Landerd;G1685;10276;'s-Hertogenbosch;K18;12488;10501;8;16;10477;3282;1322;1151;1435;1120;386;258;354;230;73;169;238;11;6;119;167;8;17;0;19;17;27;21;5;10;9;6;1;5;11;;;0;;;;
Landgraaf;G0882;11335;Maastricht;K19;29956;22596;40;76;22480;4234;1992;5290;1778;2295;1627;706;2117;802;172;195;358;18;83;317;71;41;69;23;54;37;26;54;29;12;34;9;11;;21;;;3;2;;;
Landsmeer;G0415;11225;Den Helder;K11;8818;7534;33;7;7494;1764;1252;961;440;416;517;416;384;411;76;173;237;22;44;74;36;65;38;19;26;15;10;20;8;6;52;4;1;0;5;2;;;0;;;
Langedijk;G0416;10955;Den Helder;K11;22101;18492;36;28;18428;4935;2757;1789;1897;957;925;785;1250;730;522;327;529;67;82;206;171;39;120;23;80;40;35;58;22;19;19;10;5;10;14;2;;;3;;;
Lansingerland;G1621;10139;Leiden;K15;45917;38531;60;44;38427;11741;6012;3834;3803;1216;1234;1280;1764;1096;1983;733;1531;392;478;342;174;159;175;131;105;62;52;;20;28;39;22;12;7;;1;;;;;1;
Laren;G0417;10649;Haarlem;K10;8789;7566;6;5;7555;2976;1307;534;750;223;268;196;275;328;88;249;193;12;22;38;12;15;10;7;14;7;3;6;5;9;;3;0;;1;0;4;;0;;;
Leeuwarden;G0080;11228;Leeuwarden;K2;97397;77431;104;125;77202;12277;12398;7478;6835;5804;8140;5094;5115;3975;2606;1969;1430;299;452;580;644;432;236;121;375;287;140;164;57;107;;48;36;49;;;24;;;25;;5
Leiden;G0546;10702;Leiden;K15;93046;75742;189;148;75405;11423;17530;5810;3636;3671;5445;8184;2536;4540;1594;4827;1334;198;1430;481;129;1127;191;398;226;206;115;;48;74;130;72;15;21;;12;;;;;2;
Leiderdorp;G0547;10058;Leiden;K15;21104;17592;42;40;17510;4381;3310;1622;1497;835;1129;1000;609;687;455;533;487;126;223;184;36;63;63;70;70;31;16;;5;25;26;9;7;6;;4;;;;;1;
Leidschendam-Voorburg;G1916;11103;Leiden;K15;56038;45166;94;72;45000;12294;8559;4323;3589;2022;2359;2176;1716;1934;914;1286;1124;194;557;456;210;262;381;139;137;78;68;;34;33;76;31;12;23;;6;;;;;7;
Lelystad;G0995;11110;Lelystad;K5;57931;41894;109;104;41681;8881;4910;5997;2664;2865;2484;1802;3227;1740;1367;573;1057;323;1381;552;192;501;231;214;186;178;74;;53;52;;28;55;49;;26;;19;;;;
Leudal;G1640;10840;Maastricht;K19;28781;22302;23;41;22238;5244;3700;3343;2913;1343;1105;641;1098;577;157;282;539;35;18;300;600;15;64;5;62;24;27;48;22;16;25;10;5;;18;;;1;1;;;
Leusden;G0327;10978;Utrecht;K8;23846;20717;18;34;20665;5237;3782;1384;2243;994;969;1022;726;826;1246;580;529;345;85;163;150;72;50;17;75;36;29;28;17;18;;14;4;8;9;3;4;;;;;
Lingewaard;G1705;10744;Arnhem;K7;36353;30451;31;55;30365;9061;4959;3381;3288;2195;1598;1256;1271;897;270;461;671;28;65;323;173;48;93;13;80;56;49;48;17;16;16;18;5;9;;0;;;;;;
Lisse;G0553;10197;Leiden;K15;17761;15038;9;13;15016;4106;2297;1568;1620;649;568;453;759;480;508;267;514;659;40;199;55;38;71;11;39;34;23;;15;10;14;4;5;5;;3;;;;;2;
Lochem;G0262;11263;Arnhem;K7;27569;23535;26;29;23480;5966;4107;1282;2748;1177;1678;1109;860;923;470;555;464;44;129;177;1414;42;65;34;61;36;33;28;19;17;25;8;5;2;;2;;;;;;
Loon op Zand;G0809;11259;Tilburg;K17;18552;14710;27;32;14651;4447;1856;2123;1581;1066;664;498;659;384;138;177;354;71;68;213;108;28;63;6;36;17;24;;18;12;14;2;4;1;19;0;;0;;;;
Lopik;G0331;10333;Utrecht;K8;11249;9386;13;12;9361;2316;756;1106;1396;319;242;164;558;199;680;102;316;655;69;102;224;15;33;21;22;8;11;21;0;1;;1;2;8;14;0;0;;;;;
Losser;G0168;11166;Zwolle;K4;18280;14643;25;18;14600;3319;1499;2266;3231;851;645;288;807;289;115;169;351;18;32;153;389;10;46;2;26;13;13;30;4;9;8;5;3;4;;2;;0;3;;;
Maasdriel;G0263;10341;Nijmegen;K6;18917;15597;22;24;15551;4664;1667;2755;1720;931;526;337;845;342;208;214;464;286;51;181;130;11;55;6;26;24;26;29;11;8;14;3;1;3;13;;;;;;;
Maasgouw;G1641;10964;Maastricht;K19;19834;14917;21;27;14869;3589;1918;2631;1809;1004;902;364;866;542;93;185;337;15;31;228;127;18;44;0;41;20;10;19;18;7;25;6;10;;7;;;2;1;;;
Maassluis;G0556;10880;Dordrecht;K14;25406;19736;62;33;19641;4828;2316;2329;1885;1029;1051;587;1042;566;760;267;734;180;1234;255;36;81;107;122;86;33;37;;18;14;8;12;5;12;;;;;4;;3;
Maastricht;G0935;10182;Maastricht;K19;86680;65342;186;119;65037;11497;11025;10098;4491;4261;6312;4072;3482;2848;510;2074;1041;67;667;892;83;480;136;137;181;127;123;126;50;62;65;52;19;;46;;;8;5;;;
Medemblik;G0420;11215;Den Helder;K11;34283;27928;46;64;27818;7454;3801;3243;3366;1480;1141;863;1787;944;703;425;892;217;133;345;412;63;126;6;109;53;39;72;32;33;26;15;13;8;14;1;;;2;;;
Meerssen;G0938;10494;Maastricht;K19;15177;12400;20;22;12358;3042;1748;1788;1365;819;1078;476;659;460;103;154;214;23;7;177;60;23;34;0;17;21;5;23;19;4;22;5;2;;9;;;1;0;;;
Meierijstad;G1948;10985;'s-Hertogenbosch;K18;63106;50685;73;63;50549;14895;7010;5801;6481;4284;2042;1617;2281;1142;288;807;1151;37;689;554;559;84;133;116;106;81;93;92;35;36;35;14;19;10;54;;;3;;;;
Meppel;G0119;11204;Assen;K3;26794;22080;31;33;22016;4764;3197;2141;2363;1634;1580;984;1099;834;1219;401;496;135;161;211;269;65;80;49;91;28;41;48;14;22;45;6;25;13;;;;;;;1;
Middelburg;G0687;10122;Middelburg;K16;37650;30096;61;54;29981;5489;4175;2230;2626;1688;2442;1536;1512;1422;1904;555;563;2432;330;342;133;127;93;20;69;55;35;;29;26;50;17;52;25;;;;4;;;;
Midden-Delfland;G1842;10130;Dordrecht;K14;14916;13060;14;14;13032;3977;2172;1021;1843;401;430;495;462;347;499;299;532;74;64;85;118;25;59;16;43;19;10;;4;12;12;5;3;5;;;;;0;;0;
Midden-Drenthe;G1731;10520;Assen;K3;27071;22463;39;33;22391;4561;2617;2333;2992;1456;2120;761;1264;669;899;256;463;251;23;263;1054;29;72;5;57;26;53;68;17;17;26;6;26;4;;;;;;;3;
Midden-Groningen;G1952;10410;Groningen;K1;48602;35653;68;62;35523;6081;3966;4819;2631;4270;3664;1466;2054;1141;1837;372;582;266;419;470;725;87;118;73;95;78;51;81;24;39;;9;30;24;35;5;11;;;;;
Mill en Sint Hubert;G0815;10535;'s-Hertogenbosch;K18;8909;7356;10;12;7334;2126;776;910;1287;716;225;157;257;159;36;97;149;8;8;103;223;7;17;1;19;8;6;18;1;4;7;1;0;3;5;;;0;;;;
Moerdijk;G1709;10046;Tilburg;K17;29363;22643;36;26;22581;6244;2460;3361;2392;1789;1024;628;1247;615;605;264;683;136;128;301;281;27;110;10;71;31;34;;29;26;24;5;19;9;24;2;;2;;;;
Molenlanden;G1978;10451;Dordrecht;K14;33503;29026;23;16;28987;5760;1903;2360;3979;1006;1058;472;1370;563;3824;232;742;4816;46;206;269;43;75;5;46;29;34;;15;21;23;8;18;60;;;;;2;;2;
Montferland;G1955;10350;Arnhem;K7;29276;23183;28;28;23127;6239;2649;3591;3050;1569;1083;619;1237;592;202;247;609;35;100;313;655;27;71;8;43;25;39;54;17;14;20;5;11;3;;0;;;;;;
Montfoort;G0335;10033;Utrecht;K8;10675;9335;18;15;9302;2674;1189;880;1156;335;289;272;344;196;474;170;302;518;88;92;182;21;21;8;28;11;10;9;3;8;;1;5;7;7;0;2;;;;;
Mook en Middelaar;G0944;10271;Maastricht;K19;6447;5553;5;7;5541;1357;1164;513;503;345;355;391;168;266;55;151;96;7;5;44;33;21;9;0;17;6;4;6;6;3;7;4;1;;4;;;0;0;;;
Neder-Betuwe;G1740;10916;Nijmegen;K6;17774;14762;23;5;14734;2381;758;1722;1236;474;681;189;777;187;742;86;285;4786;33;109;106;14;28;13;17;13;11;25;4;8;2;3;20;16;8;;;;;;;
Nederweert;G0946;10681;Maastricht;K19;13866;10823;6;17;10800;2761;1278;1515;1704;741;526;320;543;260;70;129;301;10;13;137;295;12;50;2;16;20;26;23;11;10;11;2;3;;11;;;0;0;;;
Nieuwegein;G0356;10374;Utrecht;K8;49306;37438;72;72;37294;9078;5376;4551;2900;2457;2298;1891;1731;1408;995;750;924;208;856;575;94;352;132;157;123;109;72;73;41;31;;27;19;23;21;10;12;;;;;
Nieuwkoop;G0569;10728;Leiden;K15;22702;18652;15;18;18619;5803;2280;1945;2511;656;540;515;975;473;507;275;768;314;85;220;395;37;80;11;62;31;42;;13;27;27;15;5;6;;0;;;;;1;
Nijkerk;G0267;10446;Arnhem;K7;33732;27646;32;38;27576;6648;2751;2895;3700;882;929;714;1424;576;2990;309;684;1735;283;185;331;53;73;94;45;45;32;52;15;7;79;12;10;23;;0;;;;;;
Nijmegen;G0268;11209;Nijmegen;K6;138342;110884;174;239;110471;15731;25762;8503;5342;7684;7310;14744;3576;6752;1352;5629;1385;167;1962;773;159;1497;243;383;376;347;182;108;51;95;177;74;32;24;51;;;;;;;
Nissewaard;G1930;10735;Dordrecht;K14;66369;48367;90;95;48182;10799;4729;8494;3090;3876;2959;1432;3868;1652;1121;489;2193;343;572;794;207;423;409;111;141;106;80;;78;51;43;23;32;38;;;;;25;;4;
Noardeast-Fryslân;G1970;10198;Leeuwarden;K2;35734;27991;50;28;27913;3903;2219;3328;6185;1771;1510;707;2450;797;2192;260;544;442;19;204;958;35;84;8;71;60;20;40;13;40;;7;4;27;;;7;;;6;;2
Noord-Beveland;G1695;10250;Middelburg;K16;6166;5028;12;8;5008;1293;495;601;545;269;292;124;298;249;181;55;174;191;2;75;84;11;19;0;13;11;6;;4;3;2;0;4;6;;;;1;;;;
Noordenveld;G1699;10699;Assen;K3;25307;21086;26;38;21022;4438;3354;2049;1911;1500;2172;1167;884;833;924;316;411;110;10;200;415;27;74;3;62;42;16;37;10;16;26;5;5;4;;;;;;;1;
Noordoostpolder;G0171;10144;Lelystad;K5;34304;28235;31;47;28157;5861;2618;3084;4581;1446;1232;715;2009;578;2070;313;754;1224;227;219;768;49;84;44;61;39;49;;32;16;;14;9;58;;2;;1;;;;
Noordwijk;G0575;10769;Leiden;K15;33560;28180;50;39;28091;8795;3992;3359;2976;1228;1021;1013;1434;1013;456;596;1096;71;96;308;102;61;142;40;85;31;44;;23;27;35;21;5;10;;8;;;;;3;
Nuenen, Gerwen en Nederwetten;G0820;10761;'s-Hertogenbosch;K18;18561;16095;22;24;16049;4689;3121;1334;1788;974;774;755;575;510;188;472;273;18;38;201;63;29;39;10;46;29;17;13;36;10;18;6;5;2;16;;;0;;;;
Nunspeet;G0302;10512;Arnhem;K7;21497;18508;21;14;18473;3045;1106;1764;2252;460;394;309;850;330;2491;131;368;4427;49;102;199;29;25;3;29;21;18;15;10;8;13;5;3;16;;1;;;;;;
Oegstgeest;G0579;10287;Leiden;K15;17780;15684;9;13;15662;4061;3902;866;1301;479;858;976;492;710;466;709;357;56;55;84;29;58;38;26;49;16;20;;6;12;10;15;4;5;;1;;;;;1;
Oirschot;G0823;10225;'s-Hertogenbosch;K18;15112;12525;21;22;12482;3990;1661;1366;1811;873;459;350;453;316;74;236;286;14;7;145;263;9;28;0;19;22;24;21;11;11;8;4;8;1;12;;;0;;;;
Oisterwijk;G0824;10103;Tilburg;K17;25768;20983;27;22;20934;6643;3610;1894;2537;1371;804;801;742;678;177;413;486;24;59;231;163;35;48;9;47;28;23;;25;21;17;15;7;3;23;0;;0;;;;
Oldambt;G1895;10453;Groningen;K1;31198;22760;38;50;22672;3843;2110;3736;1750;3077;2532;719;1503;784;838;204;365;108;31;271;377;28;82;11;60;46;23;64;22;30;;7;13;8;25;1;4;;;;;
Oldebroek;G0269;11106;Arnhem;K7;18177;14832;15;9;14808;2153;774;1684;2121;487;466;275;691;232;2914;107;262;2183;14;83;198;19;30;1;20;10;15;18;5;5;4;3;2;32;;0;;;;;;
Oldenzaal;G0173;11100;Zwolle;K4;25026;20696;34;37;20625;5182;2883;2347;3951;1181;1027;660;1010;461;172;386;451;25;232;177;180;21;64;13;49;29;26;27;16;15;13;9;6;4;;1;;2;5;;;
Olst-Wijhe;G1773;10409;Zwolle;K4;14678;12178;12;19;12147;2751;1642;1032;1777;731;963;540;430;392;310;201;230;45;52;112;762;23;38;0;27;22;9;16;14;6;8;6;7;0;;0;;0;1;;;
Ommen;G0175;11069;Zwolle;K4;14195;12191;14;15;12162;2462;1194;1026;2572;500;454;302;533;276;1323;118;204;228;10;80;696;23;57;0;27;8;14;10;6;5;9;0;3;18;;0;;1;3;;;
Oost Gelre;G1586;11094;Arnhem;K7;23745;19965;31;17;19917;5151;2602;1761;3787;1176;829;528;829;387;103;254;583;23;61;237;1341;13;55;3;49;29;28;30;18;12;15;5;4;4;;0;;;;;;
Oosterhout;G0826;11280;Tilburg;K17;43843;33283;56;45;33182;9281;4902;4242;2920;2296;1719;1233;1667;941;355;590;767;57;872;417;198;98;105;94;115;52;62;;45;26;21;15;26;8;32;2;;24;;;;
Ooststellingwerf;G0085;10836;Leeuwarden;K2;20672;16271;28;33;16210;2916;1690;2037;2044;1344;1391;526;1194;630;629;182;346;159;17;182;627;26;52;1;42;28;28;52;7;11;;7;20;10;;;8;;;3;;1
Oostzaan;G0431;11303;Den Helder;K11;7571;6407;15;30;6362;1665;807;952;355;348;412;293;416;280;108;103;223;26;34;77;49;39;43;2;18;16;7;24;7;4;36;7;2;0;9;0;;;0;;;
Opmeer;G0432;10609;Den Helder;K11;9340;7657;9;14;7634;2066;1068;812;1072;377;304;218;499;226;79;114;260;10;8;103;212;17;58;2;24;18;10;36;5;10;10;4;5;2;3;0;;;2;;;
Opsterland;G0086;10005;Leeuwarden;K2;23686;19125;17;39;19069;3218;2311;1806;2493;1501;1845;696;1234;610;1335;233;377;295;14;150;678;22;47;1;52;28;33;38;9;17;;4;2;16;;;1;;;1;;2
Oss;G0828;10834;'s-Hertogenbosch;K18;70994;54686;72;98;54516;13573;6714;7595;5352;7500;2133;1912;2809;1317;329;831;1155;56;1278;552;429;159;145;60;141;83;82;101;43;25;15;28;34;15;48;;;2;;;;
Oude IJsselstreek;G1509;10260;Arnhem;K7;31672;25025;25;33;24967;6172;3149;2648;3611;1993;1450;871;1034;625;403;260;560;54;444;316;948;45;66;31;58;44;47;56;18;19;21;14;7;3;;0;;;;;;
Ouder-Amstel;G0437;10998;Haarlem;K10;10412;8838;27;10;8801;2078;1896;607;686;357;573;580;259;415;157;342;248;62;73;107;53;166;21;22;12;26;12;14;5;1;;9;3;;1;4;11;;1;;;
Oudewater;G0589;10188;Utrecht;K8;7894;6755;10;6;6739;1848;836;582;1070;217;214;136;317;115;357;93;195;251;21;54;239;10;113;4;14;9;11;11;1;4;;2;5;8;2;0;0;;;;;
Overbetuwe;G1734;11188;Arnhem;K7;37155;30691;43;34;30614;8236;4906;3347;3373;1668;1553;1442;1324;928;900;517;646;482;138;292;377;61;100;10;68;43;36;42;17;28;23;9;31;14;;3;;;;;;
Papendrecht;G0590;10427;Dordrecht;K14;25172;19779;33;31;19715;5021;2262;2239;1804;1066;1036;569;1120;591;1426;214;592;843;214;282;39;59;121;33;49;28;29;;22;13;13;15;3;10;;;;;1;;1;
Peel en Maas;G1894;10205;Maastricht;K19;34636;27128;28;54;27046;6570;3053;4151;4854;1614;1225;761;1387;551;117;333;753;21;111;355;722;30;81;50;55;26;42;50;29;18;35;15;15;;20;;;0;2;;;
Pekela;G0765;10848;Groningen;K1;9844;6978;9;14;6955;924;429;1569;557;1059;721;177;525;201;202;43;96;73;8;64;147;12;40;1;13;19;12;23;13;6;;0;4;8;6;0;3;;;;;
Pijnacker-Nootdorp;G1926;10031;Leiden;K15;40488;34313;46;42;34225;9975;5702;3591;3228;1296;1365;1471;1431;1117;1057;819;1278;245;333;325;134;133;240;86;107;71;57;;35;34;40;22;17;11;;2;;;;;3;
